PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
390,1,3,Passenger_390,male,8.0,0,0,TCK37112,10.21,,S
391,0,3,Passenger_391,male,10.8,0,3,TCK53486,8.31,,S
392,1,1,Passenger_392,male,33.6,1,0,TCK37932,136.94,,S
393,1,3,Passenger_393,male,,0,0,TCK81446,4.15,,S
394,1,3,Passenger_394,male,6.9,0,0,TCK97007,5.5,,S
395,0,1,Passenger_395,male,26.2,0,2,TCK83421,121.29,,S
396,0,3,Passenger_396,male,,1,0,TCK49528,20.06,,S
397,1,3,Passenger_397,male,54.5,1,0,TCK55295,9.13,,Q
398,0,2,Passenger_398,male,51.6,0,0,TCK50240,15.69,,S
399,1,3,Passenger_399,female,20.1,2,0,TCK81417,16.2,,S
400,1,2,Passenger_400,female,25.6,2,2,TCK59709,4.0,,S
